"","ano_trimestre","trimestre","oni_media","enso_class","bar_color","data_inicio","enso_fase"
"286",1978,"JFM",0.06,"Neutral","gray80",1978-02-01,"Neutral"
"287",1978,"JJA",-0.53,"La_Nina","steelblue",1978-07-01,"La_Nina"
"288",1978,"MAM",-0.31,"Neutral","gray80",1978-04-01,"Neutral"
"289",1978,"MJJ",-0.22,"Neutral","gray80",1978-06-01,"Neutral"
"290",1978,"SON",-0.14,"Neutral","gray80",1978-10-01,"Neutral"
"291",1979,"AMJ",0.08,"Neutral","gray80",1979-05-01,"Neutral"
"292",1979,"ASO",0.35,"Neutral","gray80",1979-09-01,"Neutral"
"293",1979,"DJF",0.0333333333333333,"Neutral","gray80",1979-01-01,"Neutral"
"294",1979,"FMA",0.42,"Neutral","gray80",1979-03-01,"Neutral"
"295",1979,"JAS",0.48,"Neutral","gray80",1979-08-01,"Neutral"
"296",1979,"JFM",0.23,"Neutral","gray80",1979-02-01,"Neutral"
"297",1979,"JJA",0.16,"Neutral","gray80",1979-07-01,"Neutral"
"298",1979,"MAM",0.19,"Neutral","gray80",1979-04-01,"Neutral"
"299",1979,"MJJ",-0.13,"Neutral","gray80",1979-06-01,"Neutral"
"300",1979,"SON",0.53,"El_Nino","firebrick",1979-10-01,"El_Nino"
"301",1980,"AMJ",0.59,"El_Nino","firebrick",1980-05-01,"El_Nino"
"302",1980,"ASO",-0.02,"Neutral","gray80",1980-09-01,"Neutral"
"303",1980,"DJF",0.593333333333333,"El_Nino","firebrick",1980-01-01,"El_Nino"
"304",1980,"FMA",0.34,"Neutral","gray80",1980-03-01,"Neutral"
"305",1980,"JAS",-0.07,"Neutral","gray80",1980-08-01,"Neutral"
"306",1980,"JFM",0.28,"Neutral","gray80",1980-02-01,"Neutral"
"307",1980,"JJA",-0.11,"Neutral","gray80",1980-07-01,"Neutral"
"308",1980,"MAM",0.51,"El_Nino","firebrick",1980-04-01,"El_Nino"
"309",1980,"MJJ",0.28,"Neutral","gray80",1980-06-01,"Neutral"
"310",1980,"SON",0.14,"Neutral","gray80",1980-10-01,"Neutral"
"311",1981,"AMJ",-0.19,"Neutral","gray80",1981-05-01,"Neutral"
"312",1981,"ASO",-0.11,"Neutral","gray80",1981-09-01,"Neutral"
"313",1981,"DJF",-0.26,"Neutral","gray80",1981-01-01,"Neutral"
"314",1981,"FMA",-0.29,"Neutral","gray80",1981-03-01,"Neutral"
"315",1981,"JAS",-0.04,"Neutral","gray80",1981-08-01,"Neutral"
"316",1981,"JFM",-0.51,"La_Nina","steelblue",1981-02-01,"La_Nina"
"317",1981,"JJA",-0.32,"Neutral","gray80",1981-07-01,"Neutral"
"318",1981,"MAM",-0.3,"Neutral","gray80",1981-04-01,"Neutral"
"319",1981,"MJJ",-0.37,"Neutral","gray80",1981-06-01,"Neutral"
"320",1981,"SON",-0.23,"Neutral","gray80",1981-10-01,"Neutral"
"321",1982,"AMJ",0.8,"El_Nino","firebrick",1982-05-01,"El_Nino"
"322",1982,"ASO",2.16,"El_Nino","firebrick",1982-09-01,"El_Nino"
"323",1982,"DJF",-0.05,"Neutral","gray80",1982-01-01,"Neutral"
"324",1982,"FMA",0.45,"Neutral","gray80",1982-03-01,"Neutral"
"325",1982,"JAS",1.64,"El_Nino","firebrick",1982-08-01,"El_Nino"
"326",1982,"JFM",0.25,"Neutral","gray80",1982-02-01,"Neutral"
"327",1982,"JJA",0.93,"El_Nino","firebrick",1982-07-01,"El_Nino"
"328",1982,"MAM",0.72,"El_Nino","firebrick",1982-04-01,"El_Nino"
"329",1982,"MJJ",0.64,"El_Nino","firebrick",1982-06-01,"El_Nino"
"330",1982,"SON",2.09,"El_Nino","firebrick",1982-10-01,"El_Nino"
"331",1983,"AMJ",0.82,"El_Nino","firebrick",1983-05-01,"El_Nino"
"332",1983,"ASO",-0.96,"La_Nina","steelblue",1983-09-01,"La_Nina"
"333",1983,"DJF",2.18,"El_Nino","firebrick",1983-01-01,"El_Nino"
"334",1983,"FMA",1.19,"El_Nino","firebrick",1983-03-01,"El_Nino"
"335",1983,"JAS",-0.36,"Neutral","gray80",1983-08-01,"Neutral"
"336",1983,"JFM",1.49,"El_Nino","firebrick",1983-02-01,"El_Nino"
"337",1983,"JJA",-0.04,"Neutral","gray80",1983-07-01,"Neutral"
