"","ano_trimestre","trimestre","oni_media","enso_class","bar_color","data_inicio","enso_fase"
"1",2015,"AMJ",1.17,"El_Nino","firebrick",2015-05-01,"El_Nino"
"2",2015,"ASO",2.36,"El_Nino","firebrick",2015-09-01,"El_Nino"
"3",2015,"DJF",0.55,"El_Nino","firebrick",2015-01-01,"El_Nino"
"4",2015,"FMA",0.7,"El_Nino","firebrick",2015-03-01,"El_Nino"
"5",2015,"JAS",2.2,"El_Nino","firebrick",2015-08-01,"El_Nino"
"6",2015,"JFM",0.47,"Neutral","gray80",2015-02-01,"Neutral"
"7",2015,"JJA",1.93,"El_Nino","firebrick",2015-07-01,"El_Nino"
"8",2015,"MAM",0.92,"El_Nino","firebrick",2015-04-01,"El_Nino"
"9",2015,"MJJ",1.45,"El_Nino","firebrick",2015-06-01,"El_Nino"
"10",2015,"SON",2.71,"El_Nino","firebrick",2015-10-01,"El_Nino"
"11",2016,"AMJ",-0.03,"Neutral","gray80",2016-05-01,"Neutral"
"12",2016,"ASO",-0.74,"La_Nina","steelblue",2016-09-01,"La_Nina"
"13",2016,"DJF",2.48333333333333,"El_Nino","firebrick",2016-01-01,"El_Nino"
"14",2016,"FMA",0.9,"El_Nino","firebrick",2016-03-01,"El_Nino"
"15",2016,"JAS",-0.57,"La_Nina","steelblue",2016-08-01,"La_Nina"
"16",2016,"JFM",1.61,"El_Nino","firebrick",2016-02-01,"El_Nino"
"17",2016,"JJA",-0.57,"La_Nina","steelblue",2016-07-01,"La_Nina"
"18",2016,"MAM",0.3,"Neutral","gray80",2016-04-01,"Neutral"
"19",2016,"MJJ",-0.47,"Neutral","gray80",2016-06-01,"Neutral"
"20",2016,"SON",-0.76,"La_Nina","steelblue",2016-10-01,"La_Nina"
"21",2017,"AMJ",0.33,"Neutral","gray80",2017-05-01,"Neutral"
"22",2017,"ASO",-0.56,"La_Nina","steelblue",2017-09-01,"La_Nina"
"23",2017,"DJF",-0.336666666666667,"Neutral","gray80",2017-01-01,"Neutral"
"24",2017,"FMA",0.21,"Neutral","gray80",2017-03-01,"Neutral"
"25",2017,"JAS",-0.43,"Neutral","gray80",2017-08-01,"Neutral"
"26",2017,"JFM",0.03,"Neutral","gray80",2017-02-01,"Neutral"
"27",2017,"JJA",-0.16,"Neutral","gray80",2017-07-01,"Neutral"
"28",2017,"MAM",0.36,"Neutral","gray80",2017-04-01,"Neutral"
"29",2017,"MJJ",0.25,"Neutral","gray80",2017-06-01,"Neutral"
"30",2017,"SON",-0.96,"La_Nina","steelblue",2017-10-01,"La_Nina"
"31",2018,"AMJ",0.05,"Neutral","gray80",2018-05-01,"Neutral"
"32",2018,"ASO",0.9,"El_Nino","firebrick",2018-09-01,"El_Nino"
"33",2018,"DJF",-0.916666666666667,"La_Nina","steelblue",2018-01-01,"La_Nina"
"34",2018,"FMA",-0.51,"La_Nina","steelblue",2018-03-01,"La_Nina"
"35",2018,"JAS",0.47,"Neutral","gray80",2018-08-01,"Neutral"
"36",2018,"JFM",-0.8,"La_Nina","steelblue",2018-02-01,"La_Nina"
"37",2018,"JJA",0.09,"Neutral","gray80",2018-07-01,"Neutral"
"38",2018,"MAM",-0.2,"Neutral","gray80",2018-04-01,"Neutral"
"39",2018,"MJJ",0.12,"Neutral","gray80",2018-06-01,"Neutral"
"40",2018,"SON",0.9,"El_Nino","firebrick",2018-10-01,"El_Nino"
"41",2019,"AMJ",0.45,"Neutral","gray80",2019-05-01,"Neutral"
